OBJECTID,X,Y,Area,Demand
429,29.063235786,40.972659391,0.0,286.120559693
430,29.065209876,40.973142837,0.0,244.87097168
431,29.071640255,40.973230038,0.0,369.593025207
432,29.073860812,40.972044091,0.0,154.844104767
433,29.078749323,40.972916113,0.0,107.127571106
434,29.082915985,40.972916113,0.0,152.828151703
435,29.089059935,40.973320727,0.0,147.887607575
436,29.093485307,40.973027731,0.0,151.950307846
437,29.09541597,40.972916113,0.0,163.943542481
438,29.087451881,40.971506159,0.0,99.1563014985
439,29.040416035,40.973749445,0.0,192.35420227
440,29.043553767,40.973151177,0.0,167.978910446
441,29.048749358,40.973749445,0.0,244.711841583
442,29.051910745,40.973642293,0.0,240.378299713
443,29.057082682,40.973749445,0.0,209.235946655
444,29.061249344,40.973749445,0.0,304.629127503
445,29.067009847,40.973470403,0.0,251.33154297
446,29.068820395,40.974255206,0.0,332.332378388
447,29.073749329,40.973749445,0.0,320.43504715
448,29.077915991,40.973749445,0.0,158.511070252
449,29.082082652,40.973749445,0.0,104.839675903
450,29.085621017,40.972493746,0.0,92.6565361023
451,29.091432339,40.973623876,0.0,151.115959167
452,29.096005546,40.974879554,0.0,108.662010193
453,29.083810043,40.973427789,0.0,154.086612702
454,29.040416035,40.974582778,0.0,192.426965714
455,29.044298854,40.974743504,0.0,226.407133103
456,29.048749358,40.974582778,0.0,196.706005097
457,29.05291602,40.974582778,0.0,199.431324005
458,29.056455863,40.974966733,0.0,214.116722107
459,29.06195895,40.974884138,0.0,320.17352295
460,29.065416005,40.974582778,0.0,260.695484163
461,29.069242756,40.97523677,0.0,380.221134185
462,29.072915997,40.974582778,0.0,319.387355805
463,29.077082658,40.974582778,0.0,236.562761307
464,29.08124932,40.974582778,0.0,103.280258179
465,29.085415982,40.974582778,0.0,127.797880173
466,29.090395734,40.975503597,0.0,136.77028656
467,29.094839586,40.975098996,0.0,108.973384857
468,29.098710578,40.975182707,0.0,108.372413635
469,29.042082699,40.97541611,0.0,206.971582413
470,29.046249361,40.97541611,0.0,202.462165833
471,29.050416023,40.97541611,0.0,200.948307037
472,29.054582685,40.97541611,0.0,210.186561584
473,29.058749346,40.97541611,0.0,238.009384155
474,29.06356648,40.974991976,0.0,274.648296355
475,29.06708267,40.97541611,0.0,315.65624237
476,29.071249332,40.97541611,0.0,316.07221222
477,29.075415994,40.97541611,0.0,252.276443483
478,29.079582655,40.97541611,0.0,226.129364014
479,29.083749317,40.97541611,0.0,190.043507576
480,29.087915979,40.97541611,0.0,119.854095459
481,29.093413153,40.974216251,0.0,100.66466713
482,29.097505897,40.976992636,0.0,109.464014053
483,29.051363438,40.975823834,0.0,140.844099045
484,29.044582696,40.976249442,0.0,233.601142883
485,29.048749358,40.976249442,0.0,210.198104858
486,29.053554666,40.976294087,0.0,211.181720734
487,29.057082682,40.976249442,0.0,226.566196442
488,29.061264127,40.976439183,0.0,256.305164338
489,29.065416005,40.976249442,0.0,266.227657318
490,29.069582667,40.976249442,0.0,362.958293915
491,29.073749329,40.976249442,0.0,253.106140138
492,29.077915991,40.976249442,0.0,229.597373963
493,29.082082652,40.976249442,0.0,195.12935257
494,29.086249314,40.976249442,0.0,124.958659172
495,29.090415976,40.976249442,0.0,90.5390748977
496,29.09589467,40.976305248,0.0,101.843570709
497,29.063249341,40.976749442,0.0,129.255252838
498,29.043749364,40.977082775,0.0,221.417922974
499,29.047916026,40.977082775,0.0,212.890403747
500,29.051822499,40.977538146,0.0,221.52457428
501,29.057006262,40.977180993,0.0,225.016204834
502,29.060416011,40.977082775,0.0,242.438915253
503,29.064582673,40.977082775,0.0,264.114437103
504,29.068749335,40.977082775,0.0,302.465881347
505,29.072915997,40.977082775,0.0,240.92672348
506,29.077082658,40.977082775,0.0,230.953250885
507,29.08124932,40.977082775,0.0,266.356056213
508,29.085415982,40.977082775,0.0,131.753537178
509,29.089582644,40.977082775,0.0,81.799958229
510,29.093749306,40.977082775,0.0,95.0550899505
511,29.073915995,40.977416108,0.0,118.91472435
512,29.042082699,40.977916107,0.0,209.903230667
513,29.046249361,40.977916107,0.0,313.913898468
514,29.04929248,40.977603599,0.0,231.024803161
515,29.055062123,40.978005395,0.0,237.76757431
516,29.057916014,40.977916107,0.0,219.911308289
517,29.062082676,40.977916107,0.0,289.48197937
518,29.066249338,40.977916107,0.0,308.09267807
519,29.071657579,40.978155893,0.0,342.031406403
520,29.074582661,40.977916107,0.0,218.607563019
521,29.078638447,40.977776595,0.0,220.923374176
522,29.082915985,40.977916107,0.0,259.191749573
523,29.087082647,40.977916107,0.0,168.48408699
524,29.091249308,40.977916107,0.0,91.3979206085
525,29.09541597,40.977916107,0.0,104.648132324
526,29.023114596,40.979712053,0.0,452.443696976
527,29.042082699,40.97874944,0.0,209.780593872
528,29.046249361,40.97874944,0.0,266.253795624
529,29.051373991,40.979169085,0.0,309.472885132
530,29.055907283,40.979186943,0.0,251.82398224
531,29.06078355,40.978999442,0.0,222.820587158
532,29.062916008,40.97874944,0.0,294.573413849
533,29.06708267,40.97874944,0.0,260.394527435
534,29.071711315,40.979011021,0.0,336.014671326
535,29.075046407,40.978874999,0.0,214.326644897
536,29.079582655,40.97874944,0.0,218.543682098
537,29.083749317,40.97874944,0.0,205.331451416
538,29.087915979,40.97874944,0.0,279.353551864
539,29.092082641,40.97874944,0.0,144.089588165
540,29.065916005,40.979082773,0.0,93.2122001648
541,29.029952301,40.980503522,0.0,103.014053345
542,29.041249367,40.979582772,0.0,151.857112884
543,29.045416029,40.979582772,0.0,255.351642609
544,29.04874299,40.979564915,0.0,262.21478653
545,29.053335415,40.979832771,0.0,320.50473404
546,29.05825899,40.980082768,0.0,296.553665161
547,29.062035369,40.979788128,0.0,227.804325104
548,29.066249338,40.979582772,0.0,258.532108307
549,29.070473747,40.979342991,0.0,375.301963806
550,29.07371978,40.979279915,0.0,265.28584671
551,29.07771307,40.979708329,0.0,259.024169922
552,29.082082652,40.979582772,0.0,210.293991089
553,29.086249314,40.979582772,0.0,257.023975372
554,29.090415976,40.979582772,0.0,297.819217682
555,29.094582638,40.979582772,0.0,304.779541016
556,29.022249037,40.980750919,0.0,355.439079285
557,29.027432062,40.981043881,0.0,189.276296616
558,29.031935581,40.981267089,0.0,235.659255028
559,29.039582702,40.980416104,0.0,167.267246246
560,29.043749364,40.980416104,0.0,261.227111817
561,29.047916026,40.980416104,0.0,240.607051849
562,29.052082688,40.980416104,0.0,335.401447295
563,29.056190215,40.980764312,0.0,319.874858855
564,29.05990746,40.980701813,0.0,231.630535126
565,29.064582673,40.980416104,0.0,342.186965943
566,29.068204357,40.98004468,0.0,375.53862381
567,29.071969855,40.980473246,0.0,307.584606171
568,29.076415993,40.980416104,0.0,356.929073334
569,29.080415988,40.980416104,0.0,248.275402069
570,29.08458265,40.980416104,0.0,259.921707153
571,29.088749311,40.980416104,0.0,300.257831573
572,29.092915973,40.980416104,0.0,251.21276474
